country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
CAN,Canada,Cape Broyle,6.3,47.0959,-52.9372,Hydro,,,,,,,Natural Resources Canada,14.9
CAN,Canada,Cape Scott,99,50.789,-128.0033,Wind,,,,,Gdf Suez Canada (40%) / Mitsui (30%) / Fiera Axium (30%),,Natural Resources Canada,
CAN,Canada,Cardinal,156.3,44.7846,-75.3779,Gas,,,,,Cardinal Power LP,,Natural Resources Canada,
CAN,Canada,Cariboo Pulp & Paper  Company,61,52.997,-122.4853,Biomass,,,,,Daishowa-Marubeni International Ltd (Dmi) & West Fraser Mills Ltd (50/50),,Natural Resources Canada,
CAN,Canada,Caribou,99,47.5071,-66.4135,Wind,,,,,,,Natural Resources Canada,
CAN,Canada,Caribou Falls,91,50.2625,-94.9744,Hydro,,,,,,,Natural Resources Canada,461.39
CAN,Canada,Carillon,753,45.5687,-74.383,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,4454.47
CAN,Canada,Carleton,109.5,48.2065,-66.139,Wind,,,,,Innergex Inc (38%),,Natural Resources Canada,
CAN,Canada,Carmichael,20,49.1458,-82.0308,Hydro,,,,,,,Natural Resources Canada,85.79
CAN,Canada,Carseland,80,50.8466,-113.5816,Gas,,,,2001,TransCanada,,GEODB,
CAN,Canada,Cascade,36,51.2002,-115.5021,Hydro,,,,,TransAlta (100%),,Natural Resources Canada,124.08
CAN,Canada,Cascade Street,1.2,45.3504,-80.0267,Hydro,,,,,Bracebridge Generation Limited,,Natural Resources Canada,4.28
CAN,Canada,Castle Creek,6,53.1092,-120.1942,Hydro,,,,,Castle Mountain Hydro Ltd,,Natural Resources Canada,18.69
CAN,Canada,Castle River,39.5,49.516,-114.0276,Wind,,,,,Vision Quest (TransAlta),,Natural Resources Canada,
CAN,Canada,Castle Rock Ridge,75.9,49.5561,-113.963,Wind,,,,,Enel,,Natural Resources Canada,
CAN,Canada,Cat Arm,127,50.0258,-56.765,Hydro,,,,,,,Natural Resources Canada,354.22
CAN,Canada,Catalyst Paper Crofton,38,48.8757,-123.65,Biomass,,,,,,,Natural Resources Canada,
CAN,Canada,Catalyst Paper Port Alberni,17,49.2474,-124.8112,Biomass,,,,,,,Natural Resources Canada,
CAN,Canada,Cavalier,120,51.0056,-113.1716,Gas,,,,,Encana,,Natural Resources Canada,
CAN,Canada,Cedar Point,100,43.0828,-82.0528,Wind,,,,,Cedar Point II LP,,Natural Resources Canada,
CAN,Canada,Cedar Road LFG,1.4,49.1184,-123.8964,Biomass,,,,,Cedar Road LFG Inc,,Natural Resources Canada,
CAN,Canada,Centennial,149.4,50.1621,-107.4579,Wind,,,,,Saskatchewan Power Corp,,Natural Resources Canada,
CAN,Canada,Centrale Hydro-Canyon Saint-Joachim,23.2,47.072,-70.877,Hydro,,,,,Société Hydro-Canyon Saint-Joachim Inc,,Natural Resources Canada,81.95
CAN,Canada,Centrale Lefrançois,7.9,46.4235,-72.9684,Hydro,,,,,Innergex Inc,,Natural Resources Canada,28.45
CAN,Canada,Centrale Val-Jalbert,16,48.4334,-72.1672,Hydro,,,,,Énergie Hydroélectrique Ouiatchouan (Société en Commandite),,Natural Resources Canada,61.47
CAN,Canada,Centrale de La Courbe du Sault,25,50.3135,-64.9098,Hydro,,,,,Société D’énergie Rivière Sheldrake Inc,,Natural Resources Canada,94.66
CAN,Canada,Chapais,28,49.7709,-74.8568,Biomass,,,,,,,Natural Resources Canada,
CAN,Canada,Chapleau Cogeneration,7.2,47.8431,-83.428,Biomass,,,,,Tembec Inc,,Natural Resources Canada,
CAN,Canada,Charlot River,10,59.6123,-109.1129,Hydro,,,,,Saskatchewan Power Corp,,Natural Resources Canada,22.76
CAN,Canada,Charlottetown Thermal Generating Station,109,46.2383,-63.1182,Oil,,,,,Maritime Electric Co Ltd,,Natural Resources Canada,
CAN,Canada,Charlottetown Thermal Generating Station,62,46.2384,-63.1181,Oil,,,,1955,Maritime Electric,,WRI,
CAN,Canada,Charlottetown Thermal Generating Station,50,46.2384,-63.1181,Oil,,,,2005,Maritime Electric,,WRI,
CAN,Canada,Chatham,101.2,42.2065,-82.3226,Wind,,,,,Kruger Energy Chatham LP,,Natural Resources Canada,
CAN,Canada,Chats Fall / Chute-des-Chats,192,45.4752,-76.2382,Hydro,,,,,Ontario Power Generation/Hydro-Electric Power Commission of Ontario,,Natural Resources Canada,481.36
CAN,Canada,Chaudiere 2,8.4,45.4191,-75.7139,Hydro,,,,,Energy Ottawa Inc,,Natural Resources Canada,45.25
CAN,Canada,Chaudiere 4,9.3,45.4204,-75.7149,Hydro,,,,,Energy Ottawa Inc,,Natural Resources Canada,50.1
CAN,Canada,Cheakamus,158,49.9337,-123.291,Hydro,,,,,BC Hydro,,Natural Resources Canada,483.16
CAN,Canada,Chebucto Pockwock,10,44.7707,-63.8379,Wind,,,,,,,Natural Resources Canada,
CAN,Canada,Chelsea,152,45.5125,-75.7775,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,685.58
CAN,Canada,Chenaux,144,45.5838,-76.6738,Hydro,,,,,Ontario Power Generation (OPG),,Natural Resources Canada,862.04
CAN,Canada,Chetwynd,12,55.7235,-121.565,Biomass,,,,,,,Natural Resources Canada,
